"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","prolific_pid","study_id","session_id","exp_version","goal_condition","base_rate_condition","decision_structure","consent_response","consent_timestamp","completion_time","view_history","question_order","correct","option_order","trial_id","base_rate","raw_response","value"
"html-button-response","7599","
    <div class=""consent-text""> 
    <h2>Consent Agreement</h2> 
    <p>Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language. 
    The purpose of the research is to understand how people choose between different forms of questions. 
    This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. 
    If you decide to participate in this research, you will read a scenario and ask a question appropriate in the scenario. </p>
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.  </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. 
    This study advances our scientific understanding of how people choose question forms. 
    We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. 
    If you do not complete this study, you will receive prorated payment based on the time that you have spent. 
    Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. 
    The alternative is not to participate. 
    You have the right to refuse to answer particular questions. 
    The results of this research study may be presented at scientific or professional meetings or published in scientific journals. 
    Your individual privacy will be maintained in all published and written data resulting from the study. 
    In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. 
    You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. 
    Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> 
    </div>
    ","0","0","2.0.0","7605","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","agree","2026-05-21T19:15:31.600Z","2026-05-21T19:17:38.902Z","","","","","","","",""
"instructions","52762","","","1","2.0.0","60368","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","[{""page_index"":0,""viewing_time"":7609},{""page_index"":1,""viewing_time"":5686},{""page_index"":2,""viewing_time"":7794},{""page_index"":3,""viewing_time"":10784},{""page_index"":4,""viewing_time"":20888}]","","","","","","",""
"survey-multi-choice","14139","","{""goal_check"":""Ask your colleague multiple questions""}","2","2.0.0","74512","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","[0]","false","[""Run experiment on an uncontaminated vial"",""Test as many vials as possible"",""Find out the contaminant that went in the vials"",""Ask your colleague multiple questions""]","","","",""
"html-button-response","2270","<p class=""check-incorrect"">That's not quite right.</p>
                            <p>Remember: Your goal is to <strong>find out the contaminant</strong>.</p>
                            <p>You have 2 attempt(s) remaining.</p>","0","3","2.0.0","76784","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","","","","","","",""
"survey-multi-choice","1571","","{""goal_check"":""Find out the contaminant that went in the vials""}","4","2.0.0","78358","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","[0]","true","[""Ask your colleague multiple questions"",""Run experiment on an uncontaminated vial"",""Find out the contaminant that went in the vials"",""Test as many vials as possible""]","","","",""
"html-button-response","1041","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","5","2.0.0","79402","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","","","","","","",""
"survey-multi-choice","7197","","{""colleague_check"":""The colleague knows the status of all the vials.""}","6","2.0.0","86601","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","[0]","false","[""The colleague knows for certain about some vials, not about others."",""It depends on the trial."",""The colleague knows nothing."",""The colleague knows the status of all the vials.""]","","","",""
"html-button-response","1522","<p class=""check-incorrect"">That's not quite right.</p>
                            <p>Remember: Your colleague knows about <strong>some but not all</strong> of the vials, so they only have <strong>partial information</strong>.</p>
                            <p>You have 2 attempt(s) remaining.</p>","0","7","2.0.0","88126","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","","","","","","",""
"survey-multi-choice","2587","","{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}","8","2.0.0","90714","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","[0]","true","[""The colleague knows nothing."",""The colleague knows for certain about some vials, not about others."",""The colleague knows the status of all the vials."",""It depends on the trial.""]","","","",""
"html-button-response","1142","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","9","2.0.0","91859","63f87480149da1634d6c4464","6a07c5d2b52d0c03db9b56e5","6a0f59c125d2f9e76fe3cff4","exp1","cont","0.2","singleton","","","2026-05-21T19:17:38.902Z","","","","","","","",""
