"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","prolific_pid","study_id","session_id","exp_version","goal_condition","base_rate_condition","decision_structure","consent_response","consent_timestamp","completion_time","view_history","question_order","correct","option_order","trial_id","base_rate","raw_response","value"
"html-button-response","6167","
    <div class=""consent-text""> 
    <h2>Consent Agreement</h2> 
    <p>Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language. 
    The purpose of the research is to understand how people choose between different forms of questions. 
    This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. 
    If you decide to participate in this research, you will read a scenario and ask a question appropriate in the scenario. </p>
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.  </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. 
    This study advances our scientific understanding of how people choose question forms. 
    We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. 
    If you do not complete this study, you will receive prorated payment based on the time that you have spent. 
    Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. 
    The alternative is not to participate. 
    You have the right to refuse to answer particular questions. 
    The results of this research study may be presented at scientific or professional meetings or published in scientific journals. 
    Your individual privacy will be maintained in all published and written data resulting from the study. 
    In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. 
    You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. 
    Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> 
    </div>
    ","0","0","2.0.0","6175","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","agree","2026-05-21T19:15:34.368Z","2026-05-21T19:20:13.532Z","","","","","","","",""
"instructions","97151","","","1","2.0.0","103327","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","[{""page_index"":0,""viewing_time"":16787},{""page_index"":1,""viewing_time"":18133},{""page_index"":2,""viewing_time"":20574},{""page_index"":3,""viewing_time"":14069},{""page_index"":4,""viewing_time"":27588}]","","","","","","",""
"survey-multi-choice","13038","","{""goal_check"":""Run experiment on an uncontaminated vial""}","2","2.0.0","116366","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","[0]","true","[""Test as many vials as possible"",""Find out the contaminant that went in the vials"",""Run experiment on an uncontaminated vial"",""Ask your colleague multiple questions""]","","","",""
"html-button-response","1649","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","3","2.0.0","118017","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","","","","","","",""
"survey-multi-choice","11495","","{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}","4","2.0.0","129512","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","[0]","true","[""The colleague knows the status of all the vials."",""The colleague knows nothing."",""The colleague knows for certain about some vials, not about others."",""It depends on the trial.""]","","","",""
"html-button-response","1195","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","5","2.0.0","130709","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","","","","","","",""
"survey-multi-choice","12409","","{""baserate_check"":""only a few contaminated, mostly uncontaminated""}","6","2.0.0","143119","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","[0]","true","[""only a few contaminated, mostly uncontaminated"",""mostly contaminated, only a few uncontaminated"",""half contaminated, half uncontaminated"",""I don't know""]","","","",""
"html-button-response","963","<p class=""check-correct"">✓ Correct! You're ready to begin.</p>","0","7","2.0.0","144084","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","","","","","","",""
"survey-html-form","54959","","{""completion"":""contaminated""}","8","2.0.0","199077","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","","","","exp1_trial1","0.2","contaminated",""
"survey-text","72472","","{""strategy"":""The college was a witness to the contamination.""}","9","2.0.0","271555","6a0711b2632e18dfef1510e5","6a07c5d2b52d0c03db9b56e5","6a0f59cb3b7bcabbcaf7c7ad","exp1","uncont","0.2","singleton","","","2026-05-21T19:20:13.532Z","","","","","","","",""
