"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","prolific_pid","study_id","session_id","exp_version","goal_condition","base_rate_condition","decision_structure","consent_response","consent_timestamp","completion_time","view_history","question_order","correct","option_order","trial_id","base_rate","raw_response","value"
"html-button-response","5439","
    <div class=""consent-text""> 
    <h2>Consent Agreement</h2> 
    <p>Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language. 
    The purpose of the research is to understand how people choose between different forms of questions. 
    This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. 
    If you decide to participate in this research, you will read a scenario and ask a question appropriate in the scenario. </p>
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.  </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. 
    This study advances our scientific understanding of how people choose question forms. 
    We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. 
    If you do not complete this study, you will receive prorated payment based on the time that you have spent. 
    Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. 
    The alternative is not to participate. 
    You have the right to refuse to answer particular questions. 
    The results of this research study may be presented at scientific or professional meetings or published in scientific journals. 
    Your individual privacy will be maintained in all published and written data resulting from the study. 
    In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. 
    You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. 
    Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> 
    </div>
    ","0","0","2.0.0","5443","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","agree","2026-05-21T19:19:45.477Z","2026-05-21T19:24:42.462Z","","","","","","","",""
"instructions","113300","","","1","2.0.0","118745","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","[{""page_index"":0,""viewing_time"":5758},{""page_index"":1,""viewing_time"":16580},{""page_index"":2,""viewing_time"":10295},{""page_index"":3,""viewing_time"":16806},{""page_index"":4,""viewing_time"":63862}]","","","","","","",""
"survey-multi-choice","13556","","{""goal_check"":""Find out the contaminant that went in the vials""}","2","2.0.0","132303","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","[0]","true","[""Test as many vials as possible"",""Find out the contaminant that went in the vials"",""Run experiment on an uncontaminated vial"",""Ask your colleague multiple questions""]","","","",""
"html-button-response","1616","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","3","2.0.0","133925","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","","","","","","",""
"survey-multi-choice","6801","","{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}","4","2.0.0","140730","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","[0]","true","[""It depends on the trial."",""The colleague knows for certain about some vials, not about others."",""The colleague knows the status of all the vials."",""The colleague knows nothing.""]","","","",""
"html-button-response","1171","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","5","2.0.0","141905","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","","","","","","",""
"survey-multi-choice","9679","","{""baserate_check"":""only a few contaminated, mostly uncontaminated""}","6","2.0.0","151588","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","[0]","false","[""I don't know"",""half contaminated, half uncontaminated"",""only a few contaminated, mostly uncontaminated"",""mostly contaminated, only a few uncontaminated""]","","","",""
"html-button-response","8314","<p class=""check-incorrect"">That's not quite right.</p>
                            <p>Remember: <strong>8 vials are contaminated</strong> and <strong>2 are uncontaminated</strong>.</p>
                            <p>You have 2 attempt(s) remaining.</p>","0","7","2.0.0","159906","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","","","","","","",""
"survey-multi-choice","4739","","{""baserate_check"":""mostly contaminated, only a few uncontaminated""}","8","2.0.0","164650","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","[0]","true","[""only a few contaminated, mostly uncontaminated"",""half contaminated, half uncontaminated"",""I don't know"",""mostly contaminated, only a few uncontaminated""]","","","",""
"html-button-response","1879","<p class=""check-correct"">✓ Correct! You're ready to begin.</p>","0","9","2.0.0","166534","5a647fc7b9e3b50001a6fe7b","6a07c5d2b52d0c03db9b56e5","6a0f5ac5f3a7d66f83ef240f","exp1","cont","0.8","singleton","","","2026-05-21T19:24:42.462Z","","","","","","","",""
