"trial_type","rt","stimulus","response","trial_index","plugin_version","time_elapsed","prolific_pid","study_id","session_id","exp_version","goal_condition","base_rate_condition","decision_structure","consent_response","consent_timestamp","completion_time","view_history","question_order","correct","option_order","trial_id","base_rate","button_order","chosen_question","chose_positive","chose_negative","value"
"html-button-response","83422","
    <div class=""consent-text""> 
    <h2>Consent Agreement</h2> 
    <p>Please read this consent agreement carefully before deciding whether to participate in this experiment. </p> 
    <p> <strong>Description:</strong> You are invited to participate in a research study about language. 
    The purpose of the research is to understand how people choose between different forms of questions. 
    This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. 
    If you decide to participate in this research, you will read a scenario and ask a question appropriate in the scenario. </p>
    <p> <strong>Time Involvement:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.  </p> 
    <p> <strong>Risks and Benefits:</strong> Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. 
    This study advances our scientific understanding of how people choose question forms. 
    We cannot and do not guarantee or promise that you will receive any benefits from this study. </p> 
    <p> <strong>Compensation:</strong> You will receive payment in the amount advertised on Prolific. 
    If you do not complete this study, you will receive prorated payment based on the time that you have spent. 
    Additionally, you may be eligible for bonus payments as described in the instructions. </p> 
    <p> <strong>Participant's Rights:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. 
    The alternative is not to participate. 
    You have the right to refuse to answer particular questions. 
    The results of this research study may be presented at scientific or professional meetings or published in scientific journals. 
    Your individual privacy will be maintained in all published and written data resulting from the study. 
    In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you. </p> 
    <p> <strong>Contact Information:</strong> If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Robert Hawkins (<a href=""mailto:rdhawkins@stanford.edu"">rdhawkins@stanford.edu</a>, 217-549-6923). </p> 
    <p> <strong>Independant Contact:</strong> If you are not satisfied with how this study is being conducted, or if you have any concerns, com-plaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. 
    You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. 
    Please save or print a copy of this page for your records. </p> 
    <p> <strong>If you agree to participate in this research, please click ""I agree""</strong> </p></br> 
    </div>
    ","0","0","2.0.0","83435","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","agree","2026-05-21T19:25:39.248Z","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
"instructions","125965","","","1","2.0.0","209413","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","[{""page_index"":0,""viewing_time"":28721},{""page_index"":1,""viewing_time"":15888},{""page_index"":2,""viewing_time"":25497},{""page_index"":3,""viewing_time"":26104},{""page_index"":4,""viewing_time"":29754}]","","","","","","","","","",""
"survey-multi-choice","8309","","{""goal_check"":""Run experiment on an uncontaminated vial""}","2","2.0.0","217741","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","[0]","true","[""Run experiment on an uncontaminated vial"",""Find out the contaminant that went in the vials"",""Ask your colleague multiple questions"",""Test as many vials as possible""]","","","","","","",""
"html-button-response","1934","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","3","2.0.0","219680","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
"survey-multi-choice","13004","","{""colleague_check"":""The colleague knows for certain about some vials, not about others.""}","4","2.0.0","232688","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","[0]","true","[""The colleague knows the status of all the vials."",""The colleague knows nothing."",""It depends on the trial."",""The colleague knows for certain about some vials, not about others.""]","","","","","","",""
"html-button-response","1688","<p class=""check-correct"">✓ Correct! Let's continue.</p>","0","5","2.0.0","234381","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
"html-button-response","5993","
        <div class=""trial-container"">
            <div class=""vial-rack"">
        <div class=""vial-container"">
            <div class=""vial chosen "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">1</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">2</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">3</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">4</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">5</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">6</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">7</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">8</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">9</div>
        </div>
    
        <div class=""vial-container"">
            <div class=""vial unknown "">
                <div class=""vial-body"">
                    <div class=""vial-liquid""></div>
                </div>
                <div class=""vial-status""></div>
            </div>
            <div class=""vial-label"">10</div>
        </div>
    </div>
            <div class=""goal-card uncont-goal"">
                <span class=""icon"">✓</span>
                <span><strong>Your Goal:</strong> Run the experiment successfully</span>
            </div>
            <div class=""question-prompt"">
                You ask your colleague:
            </div>
        </div>
    ","1","6","2.0.0","240381","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","exp2_trial1","0.5","[""Is this vial not contaminated?"",""Is this vial contaminated?""]","Is this vial contaminated?","true","false",""
"survey-text","81177","","{""strategy"":""I’m assuming the reason they know about some and not others is because they saw clear signs of contamination. So they would be more likely to know which are contaminated than which are not""}","7","2.0.0","321574","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
"html-button-response","22707","
    <h2>Study Complete - Debriefing</h2>
    <div class=""instructions-box"">
        <p><strong>Thank you for participating!</strong></p>

        <p><strong>Purpose of this study:</strong></p>
        <p>This study investigates how people choose to phrase questions when seeking information.
        Specifically, we are interested in whether people's goals influence which question they ask—for example,
        whether asking ""Is this vial contaminated?"" vs. ""Is this vial not contaminated?"" depends on what the person
        wants to accomplish.</p>

        <p><strong>What we're studying:</strong></p>
        <p>We hypothesize that people strategically choose question framing to maximize the usefulness of
        the answer for their specific decision problem. Your responses will help us understand the
        cognitive processes underlying question formulation.</p>

        <p><strong>Confidentiality:</strong></p>
        <p>Your responses are completely anonymous and will only be used for research purposes.
        No identifying information has been collected.</p>

        <p>If you have any questions about this research, please contact sylee423@stanford.edu or rdhawkins@stanford.edu.</p>
    </div>
","0","8","2.0.0","344283","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
"call-function","","","","9","2.0.0","344285","6741952bc1bf313739497ac2","6a07c8c72eba96402678253e","6a0f5b5e8bf365688223195a","exp2","uncont","0.5","singleton","","","2026-05-21T19:30:00.092Z","","","","","","","","","","",""
